R 	:        A       ,        B       ,        C       ,        D       ,        E       ,        F       ,        G      ,       H          |        Wt        |    Kt 
24 	:8FE3FE0BFD2179BE,A10575D4D04256A5,C268BE8759EFEF52,FC3F4C4F95EA6547,B1C7DCE9D9EB6A9B,FF137D82E6BFBCA1,B18FFFAD8B85AB62,F703FE79D720111F | 5210720E58D094F0 | 983E5152EE66DFAB
25 	:548AA637A4897A4B,8FE3FE0BFD2179BE,A10575D4D04256A5,C268BE8759EFEF52,92C26C8B4037871B,B1C7DCE9D9EB6A9B,FF137D82E6BFBCA1,B18FFFAD8B85AB62 | AEDFAC4706015EBD | A831C66D2DB43210
26 	:12FE635149D08339,548AA637A4897A4B,8FE3FE0BFD2179BE,A10575D4D04256A5,80E642EDA49D1821,92C26C8B4037871B,B1C7DCE9D9EB6A9B,FF137D82E6BFBCA1 | 1580B3D5DE3644CB | B00327C898FB213F
27 	:4B91FB444A33D9F9,12FE635149D08339,548AA637A4897A4B,8FE3FE0BFD2179BE,67BCD8AC1378645D,80E642EDA49D1821,92C26C8B4037871B,B1C7DCE9D9EB6A9B | C25C09CC1CA54E7E | BF597FC7BEEF0EE4
28 	:2E8F3809D1C6A72F,4B91FB444A33D9F9,12FE635149D08339,548AA637A4897A4B,32B344676CE95C11,67BCD8AC1378645D,80E642EDA49D1821,92C26C8B4037871B | F6A906CEFE79B25B | C6E00BF33DA88FC2
29 	:8E8E86828BD312CE,2E8F3809D1C6A72F,4B91FB444A33D9F9,12FE635149D08339,5CC15B01697CB8F1,32B344676CE95C11,67BCD8AC1378645D,80E642EDA49D1821 | 2843AC1F05BC5B55 | D5A79147930AA725
30 	:293EE3EA9C627E2C,8E8E86828BD312CE,2E8F3809D1C6A72F,4B91FB444A33D9F9,12DB3EBC440898F1,5CC15B01697CB8F1,32B344676CE95C11,67BCD8AC1378645D | 1BEE75E2339205EE | 06CA6351E003826F
31 	:B9C773FA3985682C,293EE3EA9C627E2C,8E8E86828BD312CE,2E8F3809D1C6A72F,22C312FE28031063,12DB3EBC440898F1,5CC15B01697CB8F1,32B344676CE95C11 | DBCC35079AE9BBE9 | 142929670A0E6E70
32 	:07BFF6C3976D72C6,B9C773FA3985682C,293EE3EA9C627E2C,8E8E86828BD312CE,AA7B78D1E3FB320F,22C312FE28031063,12DB3EBC440898F1,5CC15B01697CB8F1 | 6934A14A5003F8A8 | 27B70A8546D22FFC
33 	:CA9F7AD67282ADC6,07BFF6C3976D72C6,B9C773FA3985682C,293EE3EA9C627E2C,1B4B6339EAD05804,AA7B78D1E3FB320F,22C312FE28031063,12DB3EBC440898F1 | BC6D9E11C5485233 | 2E1B21385C26C926
34 	:B72257CA68B9EEE2,CA9F7AD67282ADC6,07BFF6C3976D72C6,B9C773FA3985682C,3C52569C3AD1B721,1B4B6339EAD05804,AA7B78D1E3FB320F,22C312FE28031063 | 5E5E6D960E6D919D | 4D2C6DFC5AC42AED
35 	:752C8C8169A64695,B72257CA68B9EEE2,CA9F7AD67282ADC6,07BFF6C3976D72C6,21D2A36B15FE1200,3C52569C3AD1B721,1B4B6339EAD05804,AA7B78D1E3FB320F | 0B717EC3F3DFD328 | 53380D139D95B3DF
36 	:7697CA3B23B42FE5,752C8C8169A64695,B72257CA68B9EEE2,CA9F7AD67282ADC6,C44AADBD2D1501B6,21D2A36B15FE1200,3C52569C3AD1B721,1B4B6339EAD05804 | 54252D5CD0E2822E | 650A73548BAF63DE
37 	:A1FD8E4A8E19BBE5,7697CA3B23B42FE5,752C8C8169A64695,B72257CA68B9EEE2,6F8D9CA398B37C1E,C44AADBD2D1501B6,21D2A36B15FE1200,3C52569C3AD1B721 | 122DF6ADAFC3A216 | 766A0ABB3C77B2A8
38 	:D4B6F6393793FC2F,A1FD8E4A8E19BBE5,7697CA3B23B42FE5,752C8C8169A64695,3F19DC23B7B53F06,6F8D9CA398B37C1E,C44AADBD2D1501B6,21D2A36B15FE1200 | 8474A900FBCE7367 | 81C2C92E47EDAEE6
39 	:F4C464E28082A4B0,D4B6F6393793FC2F,A1FD8E4A8E19BBE5,7697CA3B23B42FE5,2E850919E0AB776F,3F19DC23B7B53F06,6F8D9CA398B37C1E,C44AADBD2D1501B6 | 6BACF4F64FA13A16 | 92722C851482353B
40 	:200B5DBFB2D3049E,F4C464E28082A4B0,D4B6F6393793FC2F,A1FD8E4A8E19BBE5,34A25A263F549805,2E850919E0AB776F,3F19DC23B7B53F06,6F8D9CA398B37C1E | 69F33124B0E05168 | A2BFE8A14CF10364
41 	:B44C1BE19B3BEA88,200B5DBFB2D3049E,F4C464E28082A4B0,D4B6F6393793FC2F,A2E206A3C1CAE780,34A25A263F549805,2E850919E0AB776F,3F19DC23B7B53F06 | CAC8CB2FE09206B1 | A81A664BBC423001
42 	:1F38E2FCDCAF51EF,B44C1BE19B3BEA88,200B5DBFB2D3049E,F4C464E28082A4B0,295D555608F588B0,A2E206A3C1CAE780,34A25A263F549805,2E850919E0AB776F | 836E5C75A072FCFA | C24B8B70D0F89791
43 	:CD79C530672A5305,1F38E2FCDCAF51EF,B44C1BE19B3BEA88,200B5DBFB2D3049E,89CE39EB62735070,295D555608F588B0,A2E206A3C1CAE780,34A25A263F549805 | CD8BF29FBC3DA62D | C76C51A30654BE30
44 	:FE90A6BB63F87FAC,CD79C530672A5305,1F38E2FCDCAF51EF,B44C1BE19B3BEA88,7581504E88475EFD,89CE39EB62735070,295D555608F588B0,A2E206A3C1CAE780 | 11101B2970A6D5E1 | D192E819D6EF5218
45 	:8B66C49F6CE5DA8F,FE90A6BB63F87FAC,CD79C530672A5305,1F38E2FCDCAF51EF,CEBBE3ED11240E15,7581504E88475EFD,89CE39EB62735070,295D555608F588B0 | 6C3F60162276B426 | D69906245565A910
46 	:7A83C9CF145D3268,8B66C49F6CE5DA8F,FE90A6BB63F87FAC,CD79C530672A5305,9E8ED2223D80F372,CEBBE3ED11240E15,7581504E88475EFD,89CE39EB62735070 | DF9E74BA6CA04187 | F40E35855771202A
47 	:467E5991C881E285,7A83C9CF145D3268,8B66C49F6CE5DA8F,FE90A6BB63F87FAC,FA8889A9644551CD,9E8ED2223D80F372,CEBBE3ED11240E15,7581504E88475EFD | 98AFA429E9FAC55B | 106AA07032BBD1B8
48 	:A9644A45460DC7F8,467E5991C881E285,7A83C9CF145D3268,8B66C49F6CE5DA8F,83DED4312049614C,FA8889A9644551CD,9E8ED2223D80F372,CEBBE3ED11240E15 | 18AD0E1743A9B1F4 | 19A4C116B8D2D0C8
49 	:8BC0A03B2048EBE5,A9644A45460DC7F8,467E5991C881E285,7A83C9CF145D3268,F0EE0519FBD1653B,83DED4312049614C,FA8889A9644551CD,9E8ED2223D80F372 | 125EBBCF3FD4CA9F | 1E376C085141AB53
50 	:E190BB6351AE50C4,8BC0A03B2048EBE5,A9644A45460DC7F8,467E5991C881E285,15D427AB1013F44B,F0EE0519FBD1653B,83DED4312049614C,FA8889A9644551CD | 4CC3D4B06A2882BD | 2748774CDF8EEB99
51 	:AD08B5E179DC1109,E190BB6351AE50C4,8BC0A03B2048EBE5,A9644A45460DC7F8,4198A03159A4760F,15D427AB1013F44B,F0EE0519FBD1653B,83DED4312049614C | 2D5FDAA406A7EFC2 | 34B0BCB5E19B48A8
52 	:1FBDF35284A7BF62,AD08B5E179DC1109,E190BB6351AE50C4,8BC0A03B2048EBE5,1E5BDF39B055D391,4198A03159A4760F,15D427AB1013F44B,F0EE0519FBD1653B | 56FF1E09FEE586E6 | 391C0CB3C5C95A63
53 	:2511EE861DEB80D6,1FBDF35284A7BF62,AD08B5E179DC1109,E190BB6351AE50C4,B4DE84D634772961,1E5BDF39B055D391,4198A03159A4760F,15D427AB1013F44B | 2E3724C4F7C0B03D | 4ED8AA4AE3418ACB
54 	:701652DDF9A2FB44,2511EE861DEB80D6,1FBDF35284A7BF62,AD08B5E179DC1109,CE93DC28B9510AA9,B4DE84D634772961,1E5BDF39B055D391,4198A03159A4760F | 470EA37955E055FC | 5B9CCA4F7763E373
55 	:8A3AB8B15DB25CC0,701652DDF9A2FB44,2511EE861DEB80D6,1FBDF35284A7BF62,A2792C5BA46A1CB6,CE93DC28B9510AA9,B4DE84D634772961,1E5BDF39B055D391 | 47A3F041122E1222 | 682E6FF3D6B2B8A3
56 	:4BF01A8648893567,8A3AB8B15DB25CC0,701652DDF9A2FB44,2511EE861DEB80D6,5CA8D3C26F5CCBBD,A2792C5BA46A1CB6,CE93DC28B9510AA9,B4DE84D634772961 | 0563D3650F57D563 | 748F82EE5DEFB2FC
57 	:0E8C975DF86BF975,4BF01A8648893567,8A3AB8B15DB25CC0,701652DDF9A2FB44,D34C6207194AAE17,5CA8D3C26F5CCBBD,A2792C5BA46A1CB6,CE93DC28B9510AA9 | D00481FC84C47E05 | 78A5636F43172F60
58 	:E5DB8639642C1E97,0E8C975DF86BF975,4BF01A8648893567,8A3AB8B15DB25CC0,07E37F82C3AC5350,D34C6207194AAE17,5CA8D3C26F5CCBBD,A2792C5BA46A1CB6 | 4D09113BBAE4D85F | 84C87814A1F0AB72
59 	:2164AD4EABAEEDB4,E5DB8639642C1E97,0E8C975DF86BF975,4BF01A8648893567,F2C418FC1632D7E9,07E37F82C3AC5350,D34C6207194AAE17,5CA8D3C26F5CCBBD | 9AEAF646C2F51FEF | 8CC702081A6439EC
60 	:CF98BAB147D514D1,2164AD4EABAEEDB4,E5DB8639642C1E97,0E8C975DF86BF975,686A0FE531DE15A0,F2C418FC1632D7E9,07E37F82C3AC5350,D34C6207194AAE17 | 426A75D1AFAF6EB4 | 90BEFFFA23631E28
61 	:63ACF5ACBC88224D,CF98BAB147D514D1,2164AD4EABAEEDB4,E5DB8639642C1E97,3E353CD023554A60,686A0FE531DE15A0,F2C418FC1632D7E9,07E37F82C3AC5350 | 93BF8702C3A8BD80 | A4506CEBDE82BDE9
62 	:5E62D808D02966A0,63ACF5ACBC88224D,CF98BAB147D514D1,2164AD4EABAEEDB4,21B864938BE62217,3E353CD023554A60,686A0FE531DE15A0,F2C418FC1632D7E9 | BDCD170B8315BF78 | BEF9A3F7B2C67915
63 	:97FF1B9B85F85369,5E62D808D02966A0,63ACF5ACBC88224D,CF98BAB147D514D1,427E6EE0AC14271D,21B864938BE62217,3E353CD023554A60,686A0FE531DE15A0 | 1E95BC26780DD36D | C67178F2E372532B
64 	:516EB97325092EE1,97FF1B9B85F85369,5E62D808D02966A0,63ACF5ACBC88224D,3F27C7B60F145FE0,427E6EE0AC14271D,21B864938BE62217,3E353CD023554A60 | 5A3BE9F92B592563 | CA273ECEEA26619C
65 	:EFDF96BEEA316FEA,516EB97325092EE1,97FF1B9B85F85369,5E62D808D02966A0,7C833B5FA17D473A,3F27C7B60F145FE0,427E6EE0AC14271D,21B864938BE62217 | C9D68F42CE6E3EFB | D186B8C721C0C207
66 	:1ADB2B2A80CB57CA,EFDF96BEEA316FEA,516EB97325092EE1,97FF1B9B85F85369,3CEF9FEC17EA1D15,7C833B5FA17D473A,3F27C7B60F145FE0,427E6EE0AC14271D | B0A2A35EDFD12D61 | EADA7DD6CDE0EB1E
67 	:77FF3036D552F347,1ADB2B2A80CB57CA,EFDF96BEEA316FEA,516EB97325092EE1,BA98509AFC100892,3CEF9FEC17EA1D15,7C833B5FA17D473A,3F27C7B60F145FE0 | C79B37AE45696356 | F57D4F7FEE6ED178
68 	:F38C36F364A0901C,77FF3036D552F347,1ADB2B2A80CB57CA,EFDF96BEEA316FEA,374A90E79C731633,BA98509AFC100892,3CEF9FEC17EA1D15,7C833B5FA17D473A | 37A4168BCB245276 | 06F067AA72176FBA
69 	:CE1A99AF7F17944D,F38C36F364A0901C,77FF3036D552F347,1ADB2B2A80CB57CA,D432995366BEB602,374A90E79C731633,BA98509AFC100892,3CEF9FEC17EA1D15 | DEFF8789908FF14B | 0A637DC5A2C898A6
70 	:A8F6F04328ADB9AD,CE1A99AF7F17944D,F38C36F364A0901C,77FF3036D552F347,5BF15BCF2AB3777B,D432995366BEB602,374A90E79C731633,BA98509AFC100892 | 9E6E5EC10CEF202C | 113F9804BEF90DAE
71 	:776821ED2DF5EB09,A8F6F04328ADB9AD,CE1A99AF7F17944D,F38C36F364A0901C,3E26F17DD89FF881,5BF15BCF2AB3777B,D432995366BEB602,374A90E79C731633 | 8E4CE18EB90DD1DD | 1B710B35131C471B
72 	:9AF4A35B37F42C45,776821ED2DF5EB09,A8F6F04328ADB9AD,CE1A99AF7F17944D,518E06DC35283C6A,3E26F17DD89FF881,5BF15BCF2AB3777B,D432995366BEB602 | D0BB8CE2CE482457 | 28DB77F523047D84
73 	:38AF062B934E8F07,9AF4A35B37F42C45,776821ED2DF5EB09,A8F6F04328ADB9AD,4704D77FA1AD8624,518E06DC35283C6A,3E26F17DD89FF881,5BF15BCF2AB3777B | 44604744650E5B37 | 32CAAB7B40C72493
74 	:D515421446660CE0,38AF062B934E8F07,9AF4A35B37F42C45,776821ED2DF5EB09,BC02403FEC741A49,4704D77FA1AD8624,518E06DC35283C6A,3E26F17DD89FF881 | BA93005633702872 | 3C9EBE0A15C9BEBC
75 	:E3521F2A4455B948,D515421446660CE0,38AF062B934E8F07,9AF4A35B37F42C45,628FBDCFB52A3CC7,BC02403FEC741A49,4704D77FA1AD8624,518E06DC35283C6A | 51F7E4FB644F25C5 | 431D67C49C100D4C
76 	:1979B53838A3E6A8,E3521F2A4455B948,D515421446660CE0,38AF062B934E8F07,429100BA8E1DB45D,628FBDCFB52A3CC7,BC02403FEC741A49,4704D77FA1AD8624 | BD511A464A164C5F | 4CC5D4BECB3E42B6
77 	:F67D476E0E2FA17E,1979B53838A3E6A8,E3521F2A4455B948,D515421446660CE0,6973617A9B1EB5F6,429100BA8E1DB45D,628FBDCFB52A3CC7,BC02403FEC741A49 | C38F14F6E11F3D5D | 597F299CFC657E2A
78 	:947E847B5285844F,F67D476E0E2FA17E,1979B53838A3E6A8,E3521F2A4455B948,B8AD0E73651C1212,6973617A9B1EB5F6,429100BA8E1DB45D,628FBDCFB52A3CC7 | 5079BB62FD8583A6 | 5FCB6FAB3AD6FAEC
79 	:915C60CB44384B79,947E847B5285844F,F67D476E0E2FA17E,1979B53838A3E6A8,D5D4CB99300744B0,B8AD0E73651C1212,6973617A9B1EB5F6,429100BA8E1DB45D | B7222565170ABBDA | 6C44198C4A475817
80 	:C694E5E0A8560DE3,915C60CB44384B79,947E847B5285844F,F67D476E0E2FA17E,478F80DC1818C6C5,D5D4CB99300744B0,B8AD0E73651C1212,6973617A9B1EB5F6 | B722256500000000 | 6C44198C00000000H 	:309ECC489C12D6EB,4CC40F50C902F2B4,D0ED77EE511A7C7A,9BCD3CA86D4CD86F,989DD35BC5FF4996,70DA34255B45B0CF,D830E81F605DCF7D,C5542E93AE9CD76F